#### PSD1 gain, offset #### 
0.00164 , 44.94102;
0.00167 , -31.00090;
0.00167 , 20.19910;
0.00167 , -31.00090;
0.00161 , 32.80989;
0.00161 , 32.80989;
0.00164 , -6.25898;
0.00161 , 32.80989;
0.00167 , -31.00090;
0.00167 , -31.00090;
0.00167 , 20.19910;
0.00072 , 4344.59914;
0.00167 , 20.19910;
0.00161 , 32.80989;
0.00167 , -31.00090;
nan , nan;
0.00164 , -57.45898;
0.00161 , 32.80989;
0.00164 , -6.25898;
0.00161 , 32.80989;
0.00167 , -31.00090;
0.00164 , -57.45898;
0.00167 , 20.19910;
0.00167 , -31.00090;
0.00167 , -31.00090;
0.00164 , -6.25898;
0.00161 , 32.80989;
0.00167 , 20.19910;
0.00161 , 32.80989;
0.00167 , -31.00090;
0.00170 , -70.62911;
0.00167 , -82.20090;
