#### PSD2 gain, offset ####
0.00168 , -51.06022
0.00161 , -46.04822
0.00170 , -37.21850
0.00170 , -55.63918
0.00166 , -54.20730
0.00166 , -58.91068
0.00165 , -55.94165
0.00171 , -64.01882
0.00165 , -25.88165
0.00166 , -61.94748
0.00166 , -48.94904
0.00167 , -57.64137
0.00168 , -45.22215
0.00163 , -54.24561
0.00168 , -62.07093
0.00171 , -66.21390
0.00169 , -47.65674
0.00171 , -46.87814
0.00172 , -64.91054
0.00167 , -51.73773
0.00174 , -64.57011
0.00165 , -59.76838
0.00163 , -53.30109
0.00165 , -63.06257
0.00167 , -37.81684
0.00164 , -58.70566
0.00174 , -36.83322
0.00166 , -51.19479
0.00167 , -51.59941
0.00166 , -45.30668
0.00168 , -43.42805
0.00168 , -40.32553
